observation_date,W986RC1A027NBEA
1960-01-01,37.850
1961-01-01,44.386
1962-01-01,46.702
1963-01-01,47.099
1964-01-01,55.282
1965-01-01,58.750
1966-01-01,61.861
1967-01-01,72.994
1968-01-01,72.927
1969-01-01,76.057
1970-01-01,97.588
1971-01-01,111.926
1972-01-01,111.526
1973-01-01,135.813
1974-01-01,146.280
1975-01-01,164.029
1976-01-01,154.386
1977-01-01,155.947
1978-01-01,175.066
1979-01-01,186.825
1980-01-01,224.894
1981-01-01,263.555
1982-01-01,291.199
1983-01-01,264.677
1984-01-01,326.307
1985-01-01,282.942
1986-01-01,288.712
1987-01-01,260.590
1988-01-01,317.112
1989-01-01,335.417
1990-01-01,360.635
1991-01-01,400.964
1992-01-01,450.497
1993-01-01,392.588
1994-01-01,357.200
1995-01-01,379.040
1996-01-01,369.937
1997-01-01,371.763
1998-01-01,424.588
1999-01-01,315.819
2000-01-01,316.823
2001-01-01,363.156
2002-01-01,451.596
2003-01-01,439.894
2004-01-01,417.049
2005-01-01,209.175
2006-01-01,275.950
2007-01-01,263.425
2008-01-01,451.473
2009-01-01,624.938
2010-01-01,671.425
2011-01-01,776.284
2012-01-01,976.525
2013-01-01,615.697
2014-01-01,711.996
2015-01-01,790.573
2016-01-01,746.198
2017-01-01,841.646
2018-01-01,996.655
2019-01-01,1178.158
2020-01-01,2661.768
2021-01-01,2177.188
2022-01-01,632.923
2023-01-01,1159.240
2024-01-01,1193.230
